Keccak[r=3, c=1597] duplex: 04 

Keccak[r=4, c=1596] duplex: 03 

Keccak[r=5, c=1595] duplex: 08 

Keccak[r=6, c=1594] duplex: 0d 

Keccak[r=7, c=1593] duplex: 42 

Keccak[r=8, c=1592] duplex: c1 

Keccak[r=9, c=1591] duplex: 47 00 

Keccak[r=10, c=1590] duplex: ff 01 

Keccak[r=11, c=1589] duplex: cd 02 

Keccak[r=12, c=1588] duplex: cc 01 

Keccak[r=13, c=1587] duplex: 0c 0a 

Keccak[r=14, c=1586] duplex: 9c 3a 

Keccak[r=15, c=1585] duplex: e4 64 

Keccak[r=16, c=1584] duplex: 95 10 

Keccak[r=17, c=1583] duplex: 06 99 01 

Keccak[r=18, c=1582] duplex: 6c 1f 03 

Keccak[r=19, c=1581] duplex: ad d5 00 

Keccak[r=20, c=1580] duplex: fa f4 07 

Keccak[r=21, c=1579] duplex: 11 26 1c 

Keccak[r=22, c=1578] duplex: 94 63 15 

Keccak[r=23, c=1577] duplex: ed e8 62 

Keccak[r=24, c=1576] duplex: 7b c0 ac 

Keccak[r=25, c=1575] duplex: 01 5d 9a 01 

Keccak[r=26, c=1574] duplex: 07 77 b5 03 

Keccak[r=27, c=1573] duplex: 10 56 f4 02 

Keccak[r=28, c=1572] duplex: bb af 05 08 

Keccak[r=29, c=1571] duplex: 81 fc fa 19 

Keccak[r=30, c=1570] duplex: 1a f7 52 3a 

Keccak[r=31, c=1569] duplex: 5b f8 02 63 

Keccak[r=32, c=1568] duplex: 98 26 e6 14 

Keccak[r=33, c=1567] duplex: 9b cb 1b 1b 00 

Keccak[r=34, c=1566] duplex: 87 27 11 b3 01 

Keccak[r=35, c=1565] duplex: be 1e 45 ee 00 

Keccak[r=36, c=1564] duplex: 98 0e 31 94 08 

Keccak[r=37, c=1563] duplex: bd 2f 99 72 0c 

Keccak[r=38, c=1562] duplex: 5d 99 65 e9 26 

Keccak[r=39, c=1561] duplex: f5 6a e0 42 27 

Keccak[r=40, c=1560] duplex: f5 2a 2b 16 7c 

Keccak[r=41, c=1559] duplex: d4 41 fd 29 73 00 

Keccak[r=42, c=1558] duplex: d0 ac ae 57 8e 02 

Keccak[r=43, c=1557] duplex: a2 e2 32 43 6b 03 

Keccak[r=44, c=1556] duplex: 6f 73 52 e2 56 0e 

Keccak[r=45, c=1555] duplex: c6 12 ed e9 d3 17 

Keccak[r=46, c=1554] duplex: 35 d9 68 05 10 0c 

Keccak[r=47, c=1553] duplex: e6 f4 29 df 6d 42 

Keccak[r=48, c=1552] duplex: 81 35 fe 4e a1 36 

Keccak[r=49, c=1551] duplex: 13 50 2d 2e cc cf 00 

Keccak[r=50, c=1550] duplex: 43 4d 55 83 f0 a3 00 

Keccak[r=51, c=1549] duplex: f5 bd ef 94 09 7b 03 

Keccak[r=52, c=1548] duplex: 7f 5a 4e ea f4 f9 0a 

Keccak[r=53, c=1547] duplex: c2 a1 c3 c1 cc af 14 

Keccak[r=54, c=1546] duplex: d9 fb c2 63 f8 0a 0b 

Keccak[r=55, c=1545] duplex: 4b d0 d3 9c 6d 1b 5e 

